id,occupancy_status,unit_status,units_in_building,unit_floor,year_built,bedrooms
12100005,1,32,10,3,9,1
12100038,1,32,9,3,11,1
12100040,1,32,9,4,4,0
12100042,1,5,6,2,4,2
12100098,1,80,3,-2,4,2
12100100,1,80,2,2,3,3
12100120,1,32,5,2,4,1
12100133,1,80,3,3,5,1
12100149,1,97,10,6,5,1
12100178,1,32,9,5,5,1
12100183,1,80,3,2,3,2
12100207,1,96,3,2,3,4
12100241,1,80,8,3,2,1
12100244,1,97,10,6,6,2
12100249,1,32,10,2,5,1
12100250,1,32,10,5,9,1
12100263,4,4,1,-2,1,3
12100271,1,6,2,2,5,3
12100272,1,12,10,6,3,2
12100279,1,96,9,1,4,2
12100287,1,5,9,4,5,3
12100338,1,80,3,2,3,2
12100352,1,6,2,2,2,3
12100364,1,6,1,-2,3,3
12100384,1,80,7,1,1,1
12100395,1,6,2,1,2,1
12100407,1,80,3,2,1,2
12100410,1,80,2,0,5,0
12100436,1,32,8,5,2,2
12100437,1,6,1,-2,10,6
12100452,1,80,9,6,6,2
12100471,1,32,9,5,4,1
12100478,1,5,9,5,6,1
12100482,1,80,6,3,2,4
12100490,1,80,8,4,4,1
12100493,1,97,10,6,9,3
12100505,1,32,4,3,4,1
12100529,4,4,1,-2,4,3
12100574,1,6,1,-2,9,4
12100579,1,6,2,2,5,2
12100620,1,80,3,3,2,2
12100635,4,4,3,1,10,2
12100676,1,80,2,1,3,1
12100692,1,5,10,5,6,1
12100702,1,6,1,-2,2,3
12100708,1,80,3,3,2,2
12100709,1,12,3,3,10,3
12100714,1,80,2,1,4,2
12100715,1,80,4,2,4,2
12100719,1,96,10,3,6,1
12100722,1,32,9,5,4,1
12100745,1,80,2,-2,1,2
12100758,1,5,8,-1,4,3
12100777,1,80,7,4,3,1
12100785,1,32,8,1,3,1
12100799,1,6,2,2,4,3
12100800,1,6,1,-2,4,6
12100816,1,6,2,2,4,2
12100825,1,5,8,3,8,2
12100840,1,97,10,6,11,3
12100849,1,5,8,5,4,3
12100877,1,32,9,4,3,1
12100886,1,32,9,5,10,1
12100892,4,4,5,1,3,2
12100906,1,80,1,-2,5,4
12100930,1,80,8,2,5,1
